endTime,artistName,trackName,msPlayed
2023-01-08 20:13,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-08 20:16,Tory Lanez,The Color Violet,226466
2023-01-08 20:20,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),229573
2023-01-08 20:22,Masego,You Never Visit Me - Single Version,4629
2023-01-08 20:25,The Weeknd,Best Friends - Remix,175071
2023-01-08 20:27,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),97708
2023-01-08 20:28,Mac Miller,Doors,78013
2023-01-08 20:33,Mac Miller,Brand Name,302133
2023-01-08 20:36,Mac Miller,Rush Hour,201840
2023-01-08 20:41,Mac Miller,Two Matches (feat. Ab-Soul),284370
2023-01-08 20:46,Mac Miller,100 Grandkids,278506
2023-01-08 20:49,Mac Miller,Time Flies (feat. Lil B),173013
2023-01-08 20:52,Mac Miller,Weekend (feat. Miguel),208080
2023-01-08 20:55,Mac Miller,Clubhouse,180866
2023-01-08 20:59,Mac Miller,In the Bag,233277
2023-01-09 2:34,The Weeknd,Gasoline,52785
2023-01-09 18:16,070 Shake,Don't Break The Silence,59050
2023-01-09 18:36,070 Shake,Don't Break The Silence,45511
2023-01-09 18:38,070 Shake,Come Around,96026
2023-01-09 18:42,070 Shake,Morrow,246626
2023-01-09 18:46,070 Shake,The Pines,213613
2023-01-09 18:53,070 Shake,Guilty Conscience,48944
2023-01-10 15:48,070 Shake,Guilty Conscience,164415
2023-01-10 15:52,070 Shake,Divorce,219386
2023-01-10 15:53,The Ebonys,It's Forever - Interlude,6557
2023-01-10 15:58,The Weeknd,I Was Never There,3270
2023-01-10 15:58,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-10 15:58,The Weeknd,Save Your Tears,1890
2023-01-10 16:01,The Weeknd,How Do I Make You Love Me?,199326
2023-01-11 20:09,The Weeknd,How Do I Make You Love Me?,2858
2023-01-11 20:12,The Weeknd,Best Friends - Remix,175071
2023-01-11 20:17,The Weeknd,Faith,283226
2023-01-11 20:20,The Weeknd,Out of Time,214193
2023-01-11 20:23,The Weeknd,Blinding Lights,200040
2023-01-11 20:26,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),123142
2023-01-12 8:20,Metro Boomin,Around Me (feat. Don Toliver),1070
2023-01-12 15:52,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),4410
2023-01-12 15:56,The Weeknd,Blinding Lights,200040
2023-01-12 15:59,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-12 16:03,SZA,Snooze,1260
2023-01-12 16:03,LonelyEve,The Hills X Creepin X The Color Violet,8110
2023-01-12 16:03,Calvin Harris,Over Now (with The Weeknd),210795
2023-01-12 16:03,Hotel Ugly,Shut up My Moms Calling - (Sped Up),6320
2023-01-12 16:06,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-12 18:53,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-12 18:56,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
2023-01-12 19:00,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-12 19:04,Tory Lanez,The Color Violet,226466
2023-01-12 19:06,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),96428
2023-01-13 20:50,The Weeknd,I Was Never There,14300
2023-01-13 20:50,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-13 20:50,The Weeknd,Save Your Tears,3530
2023-01-13 20:54,The Weeknd,How Do I Make You Love Me?,214214
2023-01-13 20:57,The Weeknd,Best Friends - Remix,175071
2023-01-13 21:02,The Weeknd,Faith,283226
2023-01-13 21:03,The Weeknd,Out of Time,50720
2023-01-13 22:40,Tory Lanez,Say It,9322
2023-01-13 22:41,Tory Lanez,The Take (feat. Chris Brown),69162
2023-01-17 7:53,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-17 8:23,The Weeknd,I Was Never There,113845
2023-01-17 8:25,The Weeknd,I Was Never There,127091
2023-01-17 8:28,The Weeknd,Save Your Tears,215626
2023-01-17 8:32,The Weeknd,How Do I Make You Love Me?,214214
2023-01-17 8:35,The Weeknd,Best Friends - Remix,175071
2023-01-17 8:40,The Weeknd,Faith,283226
2023-01-17 8:43,The Weeknd,Out of Time,214193
2023-01-17 8:47,The Weeknd,Blinding Lights,200040
2023-01-17 8:52,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),93312
2023-01-17 15:48,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-17 17:20,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-17 17:20,Metro Boomin,Raindrops (Insane) [with Travis Scott],13077
2023-01-17 17:23,Metro Boomin,Raindrops (Insane) [with Travis Scott],175813
2023-01-17 18:51,Swedish House Mafia,Moth To A Flame (with The Weeknd),184523
2023-01-17 18:52,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),940
2023-01-17 18:52,Pharrell Williams,Down In Atlanta,1180
2023-01-17 18:52,Metro Boomin,Raindrops (Insane) [with Travis Scott],4400
2023-01-17 18:52,The Weeknd,Best Friends - Remix,64470
2023-01-17 18:56,070 Shake,Blue Velvet,276362
2023-01-17 19:00,The Weeknd,How Do I Make You Love Me?,214214
2023-01-17 19:02,BROCKHAMPTON,KEEP IT SOUTHERN,117333
2023-01-17 20:20,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-17 20:23,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666
2023-01-17 20:26,21 Savage,Glock In My Lap,193591
2023-01-17 20:29,Tory Lanez,Sorry 4 What? // LV BELT,154632
2023-01-17 20:33,50 Cent,P.I.M.P.,249466
2023-01-17 20:35,Polo G,Bad Man (Smooth Criminal),106000
2023-01-17 20:38,DJ Khaled,POPSTAR (feat. Drake),200221
2023-01-17 20:42,Young Thug,The London (feat. J. Cole & Travis Scott),200186
2023-01-17 20:45,Joey Bada$$,DEVASTATED,183426
2023-01-17 20:58,Joey Bada$$,DEVASTATED,13209
2023-01-17 20:58,Joey Bada$$,DEVASTATED,10144
2023-01-17 21:01,Big Sean,Wolves (feat. Post Malone),199758
2023-01-17 21:05,Joyner Lucas,I Love,210064
2023-01-17 21:09,Joyner Lucas,Isis (feat. Logic),236501
2023-01-17 21:12,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),213080
2023-01-17 21:15,Q,I Might Slip Away if I Don't Feel Nothing,835
2023-01-17 21:15,070 Shake,Guilty Conscience,130449
2023-01-17 21:15,Rich Brian,VIVID,1044
2023-01-17 21:18,The Weeknd,Out of Time,202454
2023-01-19 15:37,21 Savage,Glock In My Lap,193591
2023-01-19 15:39,Aminé,REEL IT IN,121346
2023-01-19 15:44,21 Savage,a lot,288624
2023-01-19 15:48,DJ Khaled,POPSTAR (feat. Drake),200221
2023-01-19 15:50,Kanye West,Wash Us In The Blood,1380
2023-01-19 15:50,Coolio,Gangsta's Paradise,3376
2023-01-19 15:50,Juicy J,SHAWTY BAD,162219
2023-01-19 15:50,Vince Staples,THE BEACH,1440
2023-01-19 15:54,JID,Off Deez (with J. Cole),213357
2023-01-19 15:56,Jack Harlow,WHATS POPPIN,139741
2023-01-19 15:59,Dreamville,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",169146
2023-01-19 17:20,Logic,DadBod,152864
2023-01-19 17:22,Mac Miller,Bird Call,128720
2023-01-19 17:22,Juicy J,MEMPHIS TO LA,6069
2023-01-19 17:26,Mac Miller,Goosebumpz (Bonus Track),202351
2023-01-19 17:26,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,15298
2023-01-20 20:43,Tory Lanez,City Boy Summer,204159
2023-01-20 20:45,Megan Thee Stallion,Megan's Piano,113429
2023-01-20 20:48,Calvin Harris,New Money (with 21 Savage),170321
2023-01-20 20:51,Megan Thee Stallion,Her,137107
2023-01-20 20:53,Tory Lanez,Solar Drive @ Night,151952
2023-01-20 20:57,Miley Cyrus,Bang Me Box,221706
2023-01-20 20:59,Megan Thee Stallion,Kitty Kat,125030
2023-01-20 21:01,Jasiah,Shenanigans (feat. Yung Bans),133102
2023-01-20 21:52,Jasiah,Shenanigans (feat. Yung Bans),5375
2023-01-20 22:05,Post Malone,When I’m Alone,99434
2023-01-20 22:32,Post Malone,Reputation,4800
2023-01-20 22:32,Post Malone,Cooped Up (with Roddy Ricch),810
2023-01-20 22:36,Post Malone,Lemon Tree,243486
2023-01-20 22:37,Post Malone,Wrapped Around Your Finger,22220
2023-01-20 22:49,Post Malone,Wrapped Around Your Finger,171414
2023-01-20 22:52,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840
2023-01-20 22:55,Post Malone,I Cannot Be (A Sadder Song) (with Gunna),169824
2023-01-20 22:58,Post Malone,Insane,169660
2023-01-20 23:01,Post Malone,Love/Hate Letter To Alcohol (with Fleet Foxes),183816
2023-01-20 23:05,Post Malone,When I’m Alone,1973
2023-01-20 23:05,Post Malone,Wasting Angels (with The Kid LAROI),243158
2023-01-20 23:05,Post Malone,Euthanasia,41861
2023-01-20 23:08,Post Malone,Waiting For A Miracle,141851
2023-01-20 23:11,Post Malone,One Right Now (with The Weeknd),192721
2023-01-20 23:12,Post Malone,"New Recording 12, Jan 3, 2020",92718
2023-01-20 23:16,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-20 23:19,The Weeknd,Best Friends - Remix,175071
2023-01-20 23:23,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),1824
2023-01-20 23:23,Tory Lanez,The Color Violet,212200
2023-01-20 23:23,Pharrell Williams,Down In Atlanta,544
2023-01-20 23:23,yung van,I've Been So Numb Since You Left Me,1226
2023-01-20 23:26,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199920
2023-01-20 23:30,The Weeknd,Out of Time,214193
2023-01-20 23:33,Tory Lanez,Lady Of Namek,193993
2023-01-20 23:36,Post Malone,92 Explorer,211426
2023-01-20 23:39,Baby Keem,16,156040
2023-01-20 23:41,Jack Harlow,Like A Blade Of Grass,126217
2023-01-20 23:44,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
2023-01-20 23:48,The Weeknd,Less Than Zero,211814
2023-01-20 23:53,Post Malone,Cooped Up / Return Of The Mack,7055
2023-01-20 23:53,Tory Lanez,Ballad of a Badman,254764
2023-01-22 6:56,Snoop Dogg,Drop It Like It's Hot,28223
2023-01-23 19:10,Young Thug,Livin It Up (with Post Malone & A$AP Rocky),86749
2023-01-23 19:24,Tory Lanez,City Boy Summer,8810
2023-01-23 19:27,Metro Boomin,On Time (with John Legend),168920
2023-01-23 19:30,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666
2023-01-23 19:33,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199920
2023-01-23 19:36,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
2023-01-23 19:40,Metro Boomin,Umbrella (with 21 Savage & Young Nudy),222000
2023-01-23 19:43,Metro Boomin,Trance (with Travis Scott & Young Thug),194786
2023-01-23 19:47,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-23 19:50,Metro Boomin,Metro Spider (with Young Thug),174560
2023-01-23 19:51,Metro Boomin,I Can't Save You (Interlude) [with Future & feat. Don Toliver],90720
2023-01-23 19:55,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-23 19:58,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],207306
2023-01-23 20:03,Metro Boomin,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],310960
2023-01-23 20:06,Metro Boomin,Lock On Me (with Travis Scott & Future),174706
2023-01-23 20:10,Metro Boomin,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),189426
2023-01-23 20:12,Metro Boomin,All The Money (with Gunna) [Bonus],167400
2023-01-23 20:16,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-23 20:19,Tory Lanez,The Color Violet,226466
2023-01-23 20:22,Pharrell Williams,Down In Atlanta,164041
2023-01-23 20:25,21 Savage,Glock In My Lap,193591
2023-01-23 20:27,Wacotron,Perfect Example,120186
2023-01-23 20:30,Kai Ca$h,Helen Keller,161175
2023-01-23 20:33,Metro Boomin,Trance (with Travis Scott & Young Thug),194786
2023-01-23 20:36,Tory Lanez,Sorry 4 What? // LV BELT,154632
2023-01-23 20:39,Popcaan,We Caa Done (feat. Drake),24700
2023-01-23 20:39,Russ,PUT YOU ON GAME,159452
2023-01-23 20:42,JID,Raydar,204909
2023-01-23 20:44,The Alchemist,Ocean Prime (feat. Boldy James),99906
2023-01-23 20:47,Metro Boomin,Overdue (with Travis Scott),166093
2023-01-23 20:51,Tory Lanez,No More Parties in LA,238708
2023-01-23 20:53,21 Savage,Rich Nigga Shit (feat. Young Thug),137203
2023-01-23 20:56,Tory Roads,Enchanted Waterfall,188350
2023-01-23 20:58,Travis Scott,MAFIA,134157
2023-01-23 21:03,Nas,"One Mic, One Gun",73333
2023-01-23 21:16,Metro Boomin,10 Freaky Girls (with 21 Savage),208293
2023-01-23 21:18,Tory Lanez,Lavender Sunflower,151966
2023-01-23 21:22,21 Savage,Runnin,195906
2023-01-23 21:24,Future,712PM,173186
2023-01-23 21:27,Travis Scott,ESCAPE PLAN,149610
2023-01-23 21:31,JID,Surround Sound (feat. 21 Savage & Baby Tate),229938
2023-01-23 21:34,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-23 21:37,T:ME,GOD FORBID,143810
2023-01-23 21:39,Big Moochie Grape,East Haiti Baby,152746
2023-01-23 21:42,Tory Lanez,Why Did I,145918
2023-01-23 21:44,21 Savage,My Choppa Hate Niggas,148640
2023-01-23 21:45,Travis Scott,CAN'T SAY,15822
2023-01-23 21:48,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199920
2023-01-23 21:51,Don Toliver,Had Enough (feat. Quavo & Offset),157133
2023-01-23 22:07,Homixide Gang,55 Lifestyle,38511
2023-01-23 22:12,Tory Lanez,Where 2 Start,254879
2023-01-23 22:15,21 Savage,Slidin,185036
2023-01-23 22:17,Gunna,south to west,122693
2023-01-23 22:20,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666
2023-01-23 22:23,SAINt JHN,Stadiums,172362
2023-01-24 15:48,Polo G,Bad Man (Smooth Criminal),106000
2023-01-24 15:50,Aminé,Charmander,131883
2023-01-24 15:54,Conway the Machine,Scatter Brain (feat. Ludacris & JID),209117
2023-01-24 15:56,bbno$,edamame,133706
2023-01-24 15:59,Dreamville,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,13538
2023-01-24 15:59,Wale,Poke It Out (feat. J. Cole),183333
2023-01-24 17:22,Dreamville,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,110120
2023-01-24 17:24,Aminé,YiPiYaY,105211
2023-01-24 18:50,Cordae,Super,149804
2023-01-24 18:50,Cordae,Super,28030
2023-01-24 18:53,Rich Brian,New Tooth,131509
2023-01-24 18:55,JID,Ambassel,135628
2023-01-24 18:59,iann dior,let you,151724
2023-01-24 19:04,BROCKHAMPTON,KEEP IT SOUTHERN,117333
2023-01-24 19:07,Rich Brian,VIVID,193120
2023-01-24 19:11,Post Malone,Motley Crew,184213
2023-01-24 19:14,EARTHGANG,UP,215346
2023-01-24 19:17,JID,151 Rum,156780
2023-01-24 19:17,Armani White,GOATED. (feat. Denzel Curry),36662
2023-01-24 19:18,Rich Brian,Sundance Freestyle,37420
2023-01-24 19:19,A$AP Rocky,Same Problems?,31700
2023-01-24 19:20,bbno$,edamame,109760
2023-01-24 19:23,Rich Brian,DOA,161162
2023-01-24 19:26,Rich Brian,Love In My Pocket,164463
2023-01-24 20:08,Rich Brian,Love In My Pocket,58965
2023-01-24 20:13,88rising,History,207307
2023-01-24 20:17,Rich Brian,Rapapapa (feat. RZA),247165
2023-01-24 20:19,Rich The Kid,Where's Dexter,123230
2023-01-24 20:22,Yung Gravy,C’est La Vie (with bbno$ & Rich Brian),160161
2023-01-24 20:25,DJ Snake,Run It (feat. Rick Ross & Rich Brian),146388
2023-01-24 20:25,Rich Brian,Gospel,1590
2023-01-24 20:25,88rising,Midsummer Madness,26200
2023-01-24 20:27,Rich Brian,New Tooth,20685
2023-01-24 20:28,Big Moochie Grape,Big Juice,75635
2023-01-25 0:52,EARTHGANG,WATERBOYZ (with JID & J. Cole),2100
2023-01-25 0:53,BROCKHAMPTON,KEEP IT SOUTHERN,17740
2023-01-25 0:56,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-25 0:59,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-25 1:00,Metro Boomin,Raindrops (Insane) [with Travis Scott],6720
2023-01-27 7:46,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-27 7:50,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-27 7:53,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-27 8:00,Post Malone,One Right Now (with The Weeknd),192721
2023-01-27 8:03,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
2023-01-27 8:07,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-27 8:13,The Weeknd,After Hours,361026
2023-01-27 8:17,Tory Lanez,The Color Violet,226466
2023-01-27 8:21,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),229573
2023-01-27 8:24,Travis Scott,CAN'T SAY,198408
2023-01-27 8:28,Masego,You Never Visit Me - Single Version,230906
2023-01-27 8:31,MO3,They Don't Know,168016
2023-01-27 8:35,Diddy,Sex In The Porsche (and PARTYNEXTDOOR),213626
2023-01-27 8:38,Royal Blood,Trouble’s Coming,228400
2023-01-27 8:45,Masego,Mystery Lady,228453
2023-01-27 8:46,Future,Solo,38842
2023-01-27 17:42,21 Savage,RIP Luv,375180
2023-01-27 17:53,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-27 17:57,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-27 18:00,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
2023-01-27 18:04,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-27 18:58,Tory Lanez,The Color Violet,69056
2023-01-27 19:00,Planet of the Little Green Men,Arrival,156778
2023-01-27 19:03,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-27 19:07,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),216598
2023-01-27 19:12,RAYE,Escapism.,203008
2023-01-27 19:13,ROSALÍA,LLYLM,1685
2023-01-27 19:13,Sam Smith,I'm Not Here To Make Friends,60874
2023-01-27 19:15,The Kid LAROI,LOVE AGAIN,146640
2023-01-27 19:16,Ava Max,Ghost,29115
2023-01-27 19:18,Cordae,Two Tens (feat. Anderson .Paak),152371
2023-01-27 19:19,Popcaan,Aboboyaa (feat. Burna Boy),36472
2023-01-27 19:23,Daniel Caesar,Do You Like Me?,227663
2023-01-27 19:23,Lil Yachty,sAy sOMETHINg,4198
2023-01-27 19:23,Rauw Alejandro,PANTIES Y BRASIERES,1493
2023-01-27 19:23,Zach Bryan,Dawns (feat. Maggie Rogers),277
2023-01-27 19:23,Chlöe,Pray It Away,31
2023-01-27 19:23,Gorillaz,Silent Running (feat. Adeleye Omotayo),2848
2023-01-27 19:23,Stephen Sanchez,Evangeline,426
2023-01-27 19:23,SG Lewis,Oh Laura,544
2023-01-27 19:23,P!nk,TRUSTFALL,768
2023-01-27 19:26,EST Gee,IF I STOP NOW,14958
2023-01-27 19:26,Rae Sremmurd,Sucka Or Sum,189170
2023-01-27 19:27,Samia,Honey,1056
2023-01-27 19:27,Maisie Peters,Body Better,501
2023-01-27 19:27,Quinn XCII,Too Late (with AJR),661
2023-01-27 19:27,Tyler Hubbard,Small Town Me,2144
2023-01-27 19:27,charlieonnafriday,That's What I Get,0
2023-01-27 19:27,Sam Smith,Lose You,20949
